,lon,lat,z,type
0,-71.08705511099448,42.3639713506431,0.0,OFFICES
1,-71.087057237172,42.36403556131832,0.0,OFFICES
2,-71.08705936335647,42.36409977199271,0.0,OFFICES
3,-71.08706148954788,42.364163982666305,0.0,OFFICES
4,-71.08696343764075,42.36397302004937,0.0,OFFICES
5,-71.08696556372504,42.364037230728314,0.0,OFFICES
6,-71.08696768981628,42.36410144140645,0.0,OFFICES
7,-71.08696981591446,42.364165652083784,0.0,OFFICES
8,-71.08697194201957,42.364229862760304,0.0,OFFICES
9,-71.08686963829508,42.36391047869891,0.0,OFFICES
10,-71.08687176427922,42.3639746893824,0.0,OFFICES
11,-71.08687389027028,42.36403890006509,0.0,OFFICES
12,-71.0868760162683,42.36410311074695,0.0,OFFICES
13,-71.08687814227326,42.36416732142801,0.0,OFFICES
14,-71.086882394304,42.364295742787704,0.0,BAR
15,-71.08688452032978,42.36435995346635,0.0,BAR
16,-71.0868866463625,42.36442416414418,0.0,BAR
17,-71.08677583913507,42.36384793726694,0.0,BAR
18,-71.08678859454295,42.36423320138298,0.0,BAR
19,-71.08679072046856,42.36429741206616,0.0,BAR
20,-71.0867928464011,42.36436162274853,0.0,BAR
21,-71.0867949723406,42.36442583343008,0.0,BAR
22,-71.08679709828704,42.36449004411083,0.0,BAR
23,-71.08679922424042,42.3645542547908,0.0,BAR
24,-71.08668416594443,42.36384960644601,0.0,BAR
25,-71.08668629173516,42.363913817137764,0.0,BAR
26,-71.08668841753284,42.36397802782873,0.0,BAR
27,-71.08669692079296,42.36423487058445,0.0,BAR
28,-71.08669904662534,42.36429908127136,0.0,BAR
29,-71.08670117246466,42.36436329195746,0.0,BAR
30,-71.08670329831092,42.364427502642755,0.0,BAR
31,-71.08670542416414,42.36449171332723,0.0,BAR
32,-71.08670755002429,42.36455592401093,0.0,BAR
33,-71.08670967589137,42.36462013469379,0.0,BAR
34,-71.0867118017654,42.36468434537585,0.0,BAR
35,-71.08659036705546,42.363787064855536,0.0,BAR
36,-71.08659249274602,42.36385127555185,0.0,BAR
37,-71.08659461844353,42.36391548624734,0.0,BAR
38,-71.08659674414797,42.363979696942025,0.0,BAR
39,-71.08659886985937,42.364043907635896,0.0,BAR
40,-71.08660312130297,42.36417232902122,0.0,BAR
41,-71.08660524703518,42.36423653971268,0.0,BAR
42,-71.08660737277432,42.364300750403316,0.0,BAR
43,-71.08660949852043,42.36436496109315,0.0,BAR
44,-71.08661162427346,42.36442917178218,0.0,BAR
45,-71.08661375003344,42.364493382470386,0.0,BAR
46,-71.08661587580036,42.364557593157805,0.0,BAR
47,-71.08661800157422,42.3646218038444,0.0,BAR
48,-71.08662012735503,42.36468601453019,0.0,BAR
49,-71.08662225314278,42.36475022521519,0.0,BAR
